timestamp,T_primary,T_backup,R_meas_1,R_meas_2
2026-04-27 12:10,82.17,82.41,131.64,131.73
2026-04-27 12:20,82.13,82.43,131.62,131.74
2026-04-27 12:30,81.99,82.04,131.57,131.59
2026-04-27 12:40,81.98,81.91,131.56,131.54
2026-04-27 12:50,82.3,82.35,131.69,131.7
2026-04-27 13:00,82.59,82.62,131.8,131.81
2026-04-27 13:10,74.13,74.03,128.54,128.5
2026-04-27 13:20,74.25,74.26,128.59,128.59
2026-04-27 13:30,73.55,73.81,128.32,128.42
2026-04-27 13:40,74.18,74.16,128.56,128.55
2026-04-27 13:50,73.55,73.44,128.32,128.27
2026-04-27 14:00,74.24,74.22,128.58,128.57
2026-04-27 14:10,73.88,73.85,128.44,128.43
2026-04-27 14:20,73.89,73.87,128.45,128.44
2026-04-27 14:30,73.89,73.86,128.45,128.44
2026-04-27 14:40,73.87,73.97,128.44,128.48
2026-04-27 14:50,73.44,73.31,128.27,128.22
2026-04-27 15:00,73.06,72.95,128.13,128.09
2026-04-27 15:10,73.0,73.13,128.1,128.16
2026-04-27 15:20,73.33,73.57,128.23,128.32
2026-04-27 15:30,74.22,74.23,128.57,128.58
2026-04-27 15:40,72.65,72.59,127.97,127.95
2026-04-27 15:50,73.2,72.98,128.18,128.1
2026-04-27 16:00,73.1,73.14,128.14,128.16
2026-04-27 16:10,72.99,72.87,128.1,128.05
2026-04-27 16:20,72.84,73.11,128.04,128.15
2026-04-27 16:30,73.05,72.93,128.12,128.08
2026-04-27 16:40,72.94,73.08,128.08,128.14
2026-04-27 16:50,72.8,72.87,128.03,128.05
2026-04-27 17:00,73.34,73.45,128.24,128.28
2026-04-27 17:10,73.6,73.51,128.34,128.3
2026-04-27 17:20,73.48,73.36,128.29,128.24
2026-04-27 17:30,72.85,73.03,128.05,128.12
2026-04-27 17:40,73.33,73.33,128.23,128.23
2026-04-27 17:50,72.52,72.61,127.92,127.95
2026-04-27 18:00,72.75,72.61,128.01,127.95
2026-04-27 18:10,72.74,72.78,128.0,128.02
2026-04-27 18:20,72.16,72.21,127.78,127.8
2026-04-27 18:30,73.08,72.99,128.14,128.1
2026-04-27 18:40,73.44,73.53,128.27,128.31
2026-04-27 18:50,72.79,72.69,128.02,127.99
2026-04-27 19:00,73.33,73.1,128.23,128.14
2026-04-27 19:10,72.94,72.84,128.08,128.04
2026-04-27 19:20,73.12,73.15,128.15,128.16
2026-04-27 19:30,73.13,73.3,128.16,128.22
2026-04-27 19:40,73.23,73.18,128.19,128.17
2026-04-27 19:50,72.69,72.79,127.99,128.02
2026-04-27 20:00,73.41,73.63,128.26,128.35
2026-04-27 20:10,72.94,72.94,128.08,128.08
2026-04-27 20:20,73.25,73.23,128.2,128.19
2026-04-27 20:30,73.31,73.06,128.22,128.13
2026-04-27 20:40,73.68,73.78,128.37,128.41
2026-04-27 20:50,73.85,74.18,128.43,128.56
2026-04-27 21:00,73.31,73.31,128.22,128.22
2026-04-27 21:10,73.49,73.78,128.29,128.41
2026-04-27 21:20,72.84,72.92,128.04,128.07
2026-04-27 21:30,73.0,72.61,128.1,127.95
2026-04-27 21:40,72.83,72.62,128.04,127.96
2026-04-27 21:50,74.12,73.99,128.54,128.49
2026-04-27 22:00,73.66,73.48,128.36,128.29
2026-04-27 22:10,74.05,73.89,128.51,128.45
2026-04-27 22:20,74.39,74.24,128.64,128.58
2026-04-27 22:30,73.62,73.64,128.34,128.35
2026-04-27 22:40,74.0,74.21,128.49,128.57
2026-04-27 22:50,74.1,73.92,128.53,128.46
2026-04-27 23:00,73.89,73.8,128.45,128.41
2026-04-27 23:10,74.47,74.52,128.67,128.69
2026-04-27 23:20,74.19,74.32,128.56,128.61
2026-04-27 23:30,74.09,74.07,128.52,128.52
2026-04-27 23:40,74.44,74.67,128.66,128.75
2026-04-27 23:50,74.4,74.34,128.64,128.62
