timestamp,mpos_actual,pos_setpoint,drive_signal
2026-04-27 08:00,44.66,48.8,11.76
2026-04-27 08:10,49.41,48.77,11.73
2026-04-27 08:20,53.92,48.73,11.72
2026-04-27 08:30,54.27,48.69,11.8
2026-04-27 08:40,49.86,48.65,11.76
2026-04-27 08:50,45.65,48.61,11.85
2026-04-27 09:00,41.99,48.56,11.79
2026-04-27 09:10,43.86,48.51,11.69
2026-04-27 09:20,49.91,48.46,11.79
2026-04-27 09:30,53.25,48.41,11.76
2026-04-27 09:40,54.22,48.36,11.75
2026-04-27 09:50,51.02,48.31,11.76
2026-04-27 10:00,43.7,48.25,11.71
2026-04-27 10:10,41.92,48.19,11.7
2026-04-27 10:20,44.06,48.13,11.67
2026-04-27 10:30,48.54,48.07,11.76
2026-04-27 10:40,53.46,48.01,11.65
2026-04-27 10:50,53.79,47.95,11.71
2026-04-27 11:00,50.11,47.89,11.61
2026-04-27 11:10,44.7,47.82,11.62
2026-04-27 11:20,42.23,47.76,11.63
2026-04-27 11:30,42.78,47.7,11.63
2026-04-27 11:40,47.92,47.63,11.61
2026-04-27 11:50,52.8,47.57,11.59
2026-04-27 12:00,52.44,47.5,11.54
2026-04-27 12:10,48.72,47.43,11.58
2026-04-27 12:20,44.37,47.37,11.61
2026-04-27 12:30,41.12,47.3,11.63
2026-04-27 12:40,42.76,47.24,11.59
2026-04-27 12:50,48.21,47.18,11.56
2026-04-27 13:00,52.67,47.11,11.5
2026-04-27 13:10,52.86,47.05,11.53
2026-04-27 13:20,49.47,46.99,11.5
2026-04-27 13:30,43.83,46.93,11.54
2026-04-27 13:40,40.4,46.87,11.57
2026-04-27 13:50,42.53,46.81,11.38
2026-04-27 14:00,48.29,46.75,11.53
2026-04-27 14:10,52.07,46.69,11.46
2026-04-27 14:20,52.72,46.64,11.5
2026-04-27 14:30,47.75,46.59,11.49
2026-04-27 14:40,42.36,46.54,11.42
2026-04-27 14:50,40.07,46.49,11.33
2026-04-27 15:00,42.19,46.44,11.49
2026-04-27 15:10,47.26,46.39,11.4
2026-04-27 15:20,51.28,46.35,11.46
2026-04-27 15:30,51.72,46.31,11.43
2026-04-27 15:40,47.56,46.27,11.34
2026-04-27 15:50,42.09,46.23,11.44
2026-04-27 16:00,40.18,46.2,11.43
2026-04-27 16:10,41.2,46.17,11.44
2026-04-27 16:20,47.34,46.14,11.49
2026-04-27 16:30,51.35,46.11,11.38
2026-04-27 16:40,51.72,46.09,11.33
2026-04-27 16:50,47.65,46.07,11.34
2026-04-27 17:00,42.73,46.05,11.41
2026-04-27 17:10,40.24,46.04,11.33
2026-04-27 17:20,42.32,46.02,11.38
2026-04-27 17:30,46.7,46.01,11.33
2026-04-27 17:40,51.86,46.01,11.3
2026-04-27 17:50,51.83,46.0,11.33
2026-04-27 18:00,47.26,46.0,11.3
2026-04-27 18:10,42.28,46.0,11.38
2026-04-27 18:20,40.47,46.01,11.43
2026-04-27 18:30,42.97,46.01,11.37
2026-04-27 18:40,47.13,46.02,11.43
2026-04-27 18:50,51.04,46.04,11.34
2026-04-27 19:00,51.62,46.05,11.39
2026-04-27 19:10,47.74,46.07,11.37
2026-04-27 19:20,41.42,46.09,11.36
2026-04-27 19:30,40.19,46.11,11.36
2026-04-27 19:40,43.25,46.14,11.37
2026-04-27 19:50,47.29,46.17,11.41
2026-04-27 20:00,51.3,46.2,11.48
2026-04-27 20:10,51.56,46.23,11.33
2026-04-27 20:20,47.63,46.27,11.52
2026-04-27 20:30,41.44,46.31,11.45
2026-04-27 20:40,40.56,46.35,11.42
2026-04-27 20:50,43.16,46.39,11.45
2026-04-27 21:00,47.95,46.44,11.5
2026-04-27 21:10,51.54,46.49,11.54
2026-04-27 21:20,52.32,46.54,11.39
2026-04-27 21:30,47.42,46.59,11.52
2026-04-27 21:40,42.31,46.64,11.45
2026-04-27 21:50,40.56,46.69,11.53
2026-04-27 22:00,43.22,46.75,11.48
2026-04-27 22:10,48.91,46.81,11.48
2026-04-27 22:20,52.15,46.87,11.43
2026-04-27 22:30,51.44,46.93,11.45
2026-04-27 22:40,47.03,46.99,11.48
2026-04-27 22:50,42.96,47.05,11.53
2026-04-27 23:00,40.82,47.11,11.49
2026-04-27 23:10,43.57,47.18,11.48
2026-04-27 23:20,48.73,47.24,11.59
2026-04-27 23:30,52.41,47.3,11.57
2026-04-27 23:40,52.19,47.37,11.7
2026-04-27 23:50,47.35,47.43,11.6
