timestamp,GOR,Q_oil,Q_gas,Q_water
2026-04-27 16:00,1025.6,17786,18.2425,2394
2026-04-27 16:10,1016.5,17985,18.2815,2387
2026-04-27 16:20,1050.2,17823,18.719,2410
2026-04-27 16:30,1034.1,17925,18.5356,2383
2026-04-27 16:40,1042.3,17808,18.5621,2403
2026-04-27 16:50,1042.7,17834,18.5962,2402
2026-04-27 17:00,1062.5,17951,19.074,2359
2026-04-27 17:10,1075.7,17916,19.2728,2390
2026-04-27 17:20,1074.8,17896,19.2346,2426
2026-04-27 17:30,1087.1,17942,19.5058,2391
2026-04-27 17:40,1112.9,17901,19.9216,2394
2026-04-27 17:50,1095.1,17828,19.5246,2411
2026-04-27 18:00,1115.2,17914,19.9774,2379
2026-04-27 18:10,1124.8,17868,20.099,2408
2026-04-27 18:20,1133.3,17993,20.3919,2379
2026-04-27 18:30,1153.1,17847,20.5793,2386
2026-04-27 18:40,1146.5,17962,20.5945,2413
2026-04-27 18:50,1163.5,17911,20.8394,2367
2026-04-27 19:00,1182.7,17969,21.2531,2398
2026-04-27 19:10,1180.8,17932,21.1747,2394
2026-04-27 19:20,1188.3,17875,21.2413,2389
2026-04-27 19:30,1195.3,17936,21.4401,2390
2026-04-27 19:40,1205.0,17868,21.5313,2355
2026-04-27 19:50,1230.2,17925,22.0514,2425
2026-04-27 20:00,1222.8,17972,21.9767,2404
2026-04-27 20:10,1248.0,17899,22.3378,2398
2026-04-27 20:20,1241.5,17903,22.2275,2406
2026-04-27 20:30,1267.0,17976,22.7776,2402
2026-04-27 20:40,1274.3,17764,22.6361,2385
2026-04-27 20:50,1275.9,17944,22.8959,2412
2026-04-27 21:00,1282.9,17876,22.9351,2376
2026-04-27 21:10,1308.1,17956,23.4881,2439
2026-04-27 21:20,1302.4,17873,23.2789,2416
2026-04-27 21:30,1311.7,17893,23.4705,2399
2026-04-27 21:40,1316.3,17856,23.505,2392
2026-04-27 21:50,1319.9,17929,23.6649,2425
2026-04-27 22:00,1334.3,17808,23.7628,2411
2026-04-27 22:10,1352.0,17901,24.2019,2359
2026-04-27 22:20,1344.3,17985,24.1784,2393
2026-04-27 22:30,1373.3,17896,24.5771,2412
2026-04-27 22:40,1368.6,17877,24.4682,2359
2026-04-27 22:50,1379.8,17864,24.6494,2345
2026-04-27 23:00,1394.4,17864,24.9107,2364
2026-04-27 23:10,1406.7,17899,25.179,2374
2026-04-27 23:20,1433.5,17935,25.711,2433
2026-04-27 23:30,1424.4,17944,25.5607,2422
2026-04-27 23:40,1420.5,17865,25.3793,2487
2026-04-27 23:50,1426.1,17924,25.5611,2393
