timestamp,mass_flow_rate,vol_flow_rate,density_fluid,T_coriolis,phase_shift
2026-04-27 07:50,108893.5,18897,869.85,75.65,0.004159
2026-04-27 08:00,107996.5,18810,866.69,75.57,0.004163
2026-04-27 08:10,108219.5,18743,871.59,75.38,0.004211
2026-04-27 08:20,107909.8,18712,870.5,74.8,0.004083
2026-04-27 08:30,108610.2,18900,867.44,75.12,0.004529
2026-04-27 08:40,109381.3,18970,870.39,74.3,0.004665
2026-04-27 08:50,108403.3,18800,870.43,75.18,0.004805
2026-04-27 09:00,108243.2,18756,871.16,75.31,0.005556
2026-04-27 09:10,108161.7,18739,871.32,75.32,0.00576
2026-04-27 09:20,108560.0,18815,870.99,74.53,0.005677
2026-04-27 09:30,108425.3,18822,869.58,74.72,0.006075
2026-04-27 09:40,107796.4,18697,870.28,74.38,0.006451
2026-04-27 09:50,107961.2,18734,869.91,74.42,0.006846
2026-04-27 10:00,108546.6,18849,869.28,74.97,0.007148
2026-04-27 10:10,106350.0,18472,869.09,74.36,0.007416
2026-04-27 10:20,107752.3,18684,870.57,74.7,0.007398
2026-04-27 10:30,106977.9,18593,868.53,74.41,0.007818
2026-04-27 10:40,107380.2,18650,869.13,74.68,0.008297
2026-04-27 10:50,108132.9,18744,870.85,74.42,0.008534
2026-04-27 11:00,107401.8,18652,869.22,74.7,0.009035
2026-04-27 11:10,108036.4,18744,870.04,74.36,0.009049
2026-04-27 11:20,107111.2,18569,870.74,74.17,0.009197
2026-04-27 11:30,107757.0,18692,870.2,74.18,0.00972
2026-04-27 11:40,106933.9,18546,870.35,74.09,0.009515
2026-04-27 11:50,106539.6,18514,868.64,74.12,0.009796
2026-04-27 12:00,107153.9,18573,870.9,74.08,0.010335
2026-04-27 12:10,106422.8,18515,867.64,73.62,0.010602
2026-04-27 12:20,106567.3,18492,869.9,73.59,0.010955
2026-04-27 12:30,105954.2,18411,868.72,73.94,0.011144
2026-04-27 12:40,106870.0,18526,870.8,74.01,0.011568
2026-04-27 12:50,105595.6,18345,868.88,73.3,0.012566
2026-04-27 13:00,105495.8,18310,869.75,73.58,0.011959
2026-04-27 13:10,105385.9,18332,867.76,73.34,0.011912
2026-04-27 13:20,105673.9,18353,869.18,73.38,0.012665
2026-04-27 13:30,105605.3,18300,871.12,73.42,0.012668
2026-04-27 13:40,105130.5,18224,870.79,73.37,0.012723
2026-04-27 13:50,105683.0,18341,869.79,73.51,0.012484
2026-04-27 14:00,106225.4,18407,871.12,73.54,0.012246
2026-04-27 14:10,104779.1,18197,869.2,73.28,0.012734
2026-04-27 14:20,105055.3,18198,871.41,73.31,0.011996
2026-04-27 14:30,104623.7,18218,866.9,73.04,0.012435
2026-04-27 14:40,104810.4,18194,869.61,73.11,0.012422
2026-04-27 14:50,105933.2,18349,871.46,72.85,0.012976
2026-04-27 15:00,104125.9,18087,869.02,73.61,0.011928
2026-04-27 15:10,105004.2,18251,868.5,73.07,0.012546
2026-04-27 15:20,105519.1,18329,869.03,73.06,0.012788
2026-04-27 15:30,104557.0,18162,869.01,73.03,0.012628
2026-04-27 15:40,105003.1,18243,868.87,72.88,0.012697
2026-04-27 15:50,104572.6,18149,869.78,72.98,0.012391
2026-04-27 16:00,104318.9,18089,870.53,72.63,0.01295
2026-04-27 16:10,104491.7,18162,868.47,73.02,0.01265
2026-04-27 16:20,105050.4,18198,871.39,72.8,0.012388
2026-04-27 16:30,104070.4,18081,868.82,72.67,0.012685
2026-04-27 16:40,104390.6,18125,869.41,72.65,0.012704
2026-04-27 16:50,104041.3,18078,868.75,72.81,0.012521
2026-04-27 17:00,104019.1,18028,870.99,73.09,0.012612
2026-04-27 17:10,104506.4,18119,870.63,72.82,0.012867
2026-04-27 17:20,105125.6,18238,870.1,72.95,0.012862
2026-04-27 17:30,104017.1,18076,868.65,73.08,0.012129
2026-04-27 17:40,105275.1,18244,871.04,72.86,0.012615
2026-04-27 17:50,104987.8,18240,868.86,72.45,0.012421
2026-04-27 18:00,104050.0,18079,868.79,72.85,0.012641
2026-04-27 18:10,104172.1,18035,871.92,72.38,0.012217
2026-04-27 18:20,104467.6,18131,869.75,72.93,0.012414
2026-04-27 18:30,103766.2,18020,869.23,72.61,0.012757
2026-04-27 18:40,104238.4,18067,870.91,72.99,0.012912
2026-04-27 18:50,104898.6,18181,870.94,73.06,0.012445
2026-04-27 19:00,104009.9,18092,867.8,72.93,0.012398
2026-04-27 19:10,104683.3,18150,870.63,72.45,0.012296
2026-04-27 19:20,104218.8,18096,869.38,72.92,0.012253
2026-04-27 19:30,104269.2,18134,867.97,72.24,0.012815
2026-04-27 19:40,103849.2,18033,869.33,72.49,0.012177
2026-04-27 19:50,104332.9,18113,869.51,73.23,0.012735
2026-04-27 20:00,104613.0,18132,870.91,73.3,0.012723
2026-04-27 20:10,104635.8,18130,871.22,73.52,0.012798
2026-04-27 20:20,105683.5,18313,871.11,73.27,0.012273
2026-04-27 20:30,104271.2,18093,869.94,72.55,0.012422
2026-04-27 20:40,105158.0,18262,869.2,73.24,0.012195
2026-04-27 20:50,104841.2,18165,871.23,73.18,0.012687
2026-04-27 21:00,105965.7,18353,871.56,72.89,0.012995
2026-04-27 21:10,104777.0,18180,869.98,73.19,0.012922
2026-04-27 21:20,104683.4,18152,870.54,73.39,0.012843
2026-04-27 21:30,105265.8,18239,871.2,73.06,0.012944
2026-04-27 21:40,105257.1,18298,868.32,73.43,0.012654
2026-04-27 21:50,105111.2,18256,869.12,73.28,0.012167
2026-04-27 22:00,106082.2,18435,868.65,73.2,0.012943
2026-04-27 22:10,105931.1,18362,870.86,73.9,0.012506
2026-04-27 22:20,105286.4,18247,871.01,73.73,0.012502
2026-04-27 22:30,105334.7,18245,871.49,73.71,0.012188
2026-04-27 22:40,105980.7,18425,868.27,73.44,0.012263
2026-04-27 22:50,105511.9,18328,869.0,73.46,0.012817
2026-04-27 23:00,106251.9,18420,870.75,74.02,0.012488
2026-04-27 23:10,106237.3,18419,870.65,74.25,0.01287
2026-04-27 23:20,107007.5,18541,871.22,74.11,0.012065
2026-04-27 23:30,106757.2,18518,870.26,73.86,0.012442
2026-04-27 23:40,106284.6,18431,870.5,74.15,0.012151
2026-04-27 23:50,106538.2,18500,869.33,73.66,0.012718
