timestamp,T_primary,T_backup,R_meas_1,R_meas_2
2026-04-28 06:00,75.72,75.53,129.15,129.08
2026-04-28 06:10,76.29,76.33,129.37,129.39
2026-04-28 06:20,76.25,76.36,129.36,129.4
2026-04-28 06:30,75.4,75.42,129.03,129.04
2026-04-28 06:40,75.17,75.25,128.94,128.97
2026-04-28 06:50,75.53,75.6,129.08,129.11
2026-04-28 07:00,76.24,76.16,129.35,129.32
2026-04-28 07:10,75.92,76.1,129.23,129.3
2026-04-28 07:20,75.25,75.34,128.97,129.01
2026-04-28 07:30,75.93,76.08,129.23,129.29
2026-04-28 07:40,75.2,75.2,128.95,128.95
2026-04-28 07:50,76.27,76.48,129.36,129.44
2026-04-28 08:00,75.49,75.45,129.06,129.05
2026-04-28 08:10,76.5,76.29,129.45,129.37
2026-04-28 08:20,75.71,75.74,129.15,129.16
2026-04-28 08:30,75.76,75.62,129.17,129.11
2026-04-28 08:40,76.03,76.17,129.27,129.33
2026-04-28 08:50,76.33,76.21,129.39,129.34
2026-04-28 09:00,75.37,75.53,129.02,129.08
2026-04-28 09:10,76.24,76.24,129.35,129.35
2026-04-28 09:20,74.85,74.82,128.82,128.81
2026-04-28 09:30,75.8,75.9,129.18,129.22
2026-04-28 09:40,75.81,76.09,129.19,129.29
2026-04-28 09:50,75.13,75.0,128.93,128.88
2026-04-28 10:00,83.93,84.08,132.31,132.37
2026-04-28 10:10,85.15,85.15,132.78,132.78
2026-04-28 10:20,84.65,84.53,132.59,132.54
2026-04-28 10:30,84.21,84.2,132.42,132.42
2026-04-28 10:40,84.67,85.04,132.6,132.74
2026-04-28 10:50,83.64,83.54,132.2,132.16
2026-04-28 11:00,84.34,84.51,132.47,132.54
2026-04-28 11:10,83.19,83.14,132.03,132.01
2026-04-28 11:20,83.63,83.62,132.2,132.19
2026-04-28 11:30,83.87,83.74,132.29,132.24
2026-04-28 11:40,83.35,83.42,132.09,132.12
2026-04-28 11:50,85.21,85.02,132.81,132.73
2026-04-28 12:00,83.05,83.29,131.97,132.07
2026-04-28 12:10,83.74,83.89,132.24,132.3
2026-04-28 12:20,84.56,84.4,132.56,132.49
2026-04-28 12:30,83.29,83.17,132.07,132.02
2026-04-28 12:40,82.85,82.63,131.9,131.81
2026-04-28 12:50,83.68,83.55,132.22,132.17
2026-04-28 13:00,83.97,84.02,132.33,132.35
2026-04-28 13:10,73.82,73.77,128.42,128.4
2026-04-28 13:20,73.95,73.84,128.47,128.43
2026-04-28 13:30,73.24,73.18,128.2,128.17
2026-04-28 13:40,74.36,74.24,128.63,128.58
2026-04-28 13:50,73.04,73.02,128.12,128.11
2026-04-28 14:00,74.19,73.93,128.56,128.46
2026-04-28 14:10,73.77,73.83,128.4,128.42
2026-04-28 14:20,73.85,73.94,128.43,128.47
2026-04-28 14:30,73.83,73.59,128.42,128.33
2026-04-28 14:40,73.78,73.99,128.41,128.49
2026-04-28 14:50,73.4,73.45,128.26,128.28
2026-04-28 15:00,73.03,73.23,128.12,128.19
2026-04-28 15:10,73.15,73.39,128.16,128.26
2026-04-28 15:20,73.2,73.3,128.18,128.22
2026-04-28 15:30,73.1,73.38,128.14,128.25
2026-04-28 15:40,72.48,72.54,127.9,127.93
2026-04-28 15:50,72.4,72.22,127.87,127.8
2026-04-28 16:00,73.96,74.09,128.47,128.52
2026-04-28 16:10,72.37,72.36,127.86,127.86
2026-04-28 16:20,72.89,72.98,128.06,128.1
2026-04-28 16:30,73.85,73.95,128.43,128.47
2026-04-28 16:40,73.26,73.34,128.21,128.24
2026-04-28 16:50,72.63,72.74,127.96,128.0
2026-04-28 17:00,73.42,73.33,128.27,128.23
2026-04-28 17:10,72.78,73.0,128.02,128.1
2026-04-28 17:20,73.11,72.94,128.15,128.08
2026-04-28 17:30,72.84,72.77,128.04,128.02
2026-04-28 17:40,72.98,72.97,128.1,128.09
2026-04-28 17:50,72.9,73.15,128.07,128.16
2026-04-28 18:00,73.33,73.56,128.23,128.32
2026-04-28 18:10,72.32,72.34,127.84,127.85
2026-04-28 18:20,73.48,73.58,128.29,128.33
2026-04-28 18:30,72.74,72.63,128.0,127.96
2026-04-28 18:40,73.41,73.37,128.26,128.25
2026-04-28 18:50,73.29,73.32,128.22,128.23
2026-04-28 19:00,73.0,73.02,128.1,128.11
2026-04-28 19:10,72.74,72.99,128.0,128.1
2026-04-28 19:20,73.31,73.52,128.22,128.31
2026-04-28 19:30,72.9,72.82,128.07,128.04
2026-04-28 19:40,73.01,72.88,128.11,128.06
2026-04-28 19:50,73.44,73.55,128.27,128.32
2026-04-28 20:00,73.0,72.95,128.1,128.09
2026-04-28 20:10,73.39,73.27,128.26,128.21
2026-04-28 20:20,73.11,73.34,128.15,128.24
2026-04-28 20:30,73.01,72.93,128.11,128.08
2026-04-28 20:40,74.35,74.03,128.62,128.5
2026-04-28 20:50,72.92,73.19,128.07,128.18
2026-04-28 21:00,73.28,73.35,128.21,128.24
2026-04-28 21:10,74.33,74.23,128.62,128.58
2026-04-28 21:20,73.3,73.36,128.22,128.24
2026-04-28 21:30,73.56,73.48,128.32,128.29
2026-04-28 21:40,73.59,73.39,128.33,128.26
2026-04-28 21:50,73.88,74.01,128.44,128.49
2026-04-28 22:00,73.69,73.65,128.37,128.36
2026-04-28 22:10,74.03,73.95,128.5,128.47
2026-04-28 22:20,73.74,73.73,128.39,128.39
2026-04-28 22:30,74.51,74.51,128.69,128.69
2026-04-28 22:40,73.94,73.92,128.47,128.46
2026-04-28 22:50,73.9,73.75,128.45,128.39
2026-04-28 23:00,73.74,73.87,128.39,128.44
2026-04-28 23:10,73.95,73.96,128.47,128.47
2026-04-28 23:20,74.05,73.85,128.51,128.43
2026-04-28 23:30,74.12,74.33,128.54,128.62
2026-04-28 23:40,74.2,74.1,128.57,128.53
2026-04-28 23:50,74.26,74.21,128.59,128.57
