timestamp,GOR,Q_oil,Q_gas,Q_water
2026-04-28 13:10,880.3,17905,15.762,2396
2026-04-28 13:20,878.7,17919,15.7455,2385
2026-04-28 13:30,880.8,17814,15.6901,2417
2026-04-28 13:40,890.8,17977,16.014,2346
2026-04-28 13:50,901.4,17929,16.1623,2379
2026-04-28 14:00,912.4,17914,16.3442,2415
2026-04-28 14:10,915.1,17741,16.2345,2402
2026-04-28 14:20,926.1,17863,16.5442,2360
2026-04-28 14:30,938.1,17919,16.8097,2447
2026-04-28 14:40,935.9,17959,16.8082,2400
2026-04-28 14:50,946.9,17924,16.9731,2426
2026-04-28 15:00,955.2,17978,17.1729,2400
2026-04-28 15:10,958.1,17843,17.095,2432
2026-04-28 15:20,972.1,17904,17.4047,2403
2026-04-28 15:30,984.2,17948,17.6654,2385
2026-04-28 15:40,984.8,17784,17.5152,2396
2026-04-28 15:50,1000.2,17961,17.9662,2378
2026-04-28 16:00,1019.2,17885,18.2289,2451
2026-04-28 16:10,1011.9,17879,18.0928,2420
2026-04-28 16:20,1037.9,17942,18.6224,2359
2026-04-28 16:30,1045.8,17899,18.7202,2351
2026-04-28 16:40,1041.4,17882,18.6235,2376
2026-04-28 16:50,1065.1,17926,19.0946,2434
2026-04-28 17:00,1056.5,17816,18.8226,2413
2026-04-28 17:10,1072.6,17943,19.2463,2419
2026-04-28 17:20,1082.5,17940,19.4197,2402
2026-04-28 17:30,1091.8,17998,19.6507,2438
2026-04-28 17:40,1090.6,17820,19.4362,2440
2026-04-28 17:50,1104.5,17893,19.7637,2385
2026-04-28 18:00,1119.6,17879,20.018,2364
2026-04-28 18:10,1111.7,17780,19.7671,2368
2026-04-28 18:20,1144.9,17853,20.4392,2399
2026-04-28 18:30,1153.1,17965,20.7162,2383
2026-04-28 18:40,1158.9,17881,20.7229,2341
2026-04-28 18:50,1170.0,17905,20.9497,2373
2026-04-28 19:00,1173.2,17916,21.0191,2404
2026-04-28 19:10,1172.9,17891,20.9855,2409
2026-04-28 19:20,1195.9,17889,21.3943,2367
2026-04-28 19:30,1202.5,17961,21.5998,2382
2026-04-28 19:40,1212.5,17952,21.7664,2431
2026-04-28 19:50,1228.5,17914,22.0067,2442
2026-04-28 20:00,1237.8,17858,22.1059,2409
2026-04-28 20:10,1238.2,17865,22.1219,2390
2026-04-28 20:20,1229.6,17935,22.0544,2425
2026-04-28 20:30,1264.3,17967,22.7163,2381
2026-04-28 20:40,1263.2,17977,22.7093,2432
2026-04-28 20:50,1268.0,17781,22.5483,2393
2026-04-28 21:00,1274.8,17903,22.8237,2429
2026-04-28 21:10,1281.3,17913,22.9527,2363
2026-04-28 21:20,1322.2,17902,23.6711,2414
2026-04-28 21:30,1303.5,17793,23.1939,2371
2026-04-28 21:40,1313.7,17958,23.593,2365
2026-04-28 21:50,1337.6,17921,23.9704,2396
2026-04-28 22:00,1320.6,17872,23.6026,2429
2026-04-28 22:10,1354.4,17907,24.2534,2356
2026-04-28 22:20,1360.7,17912,24.3732,2385
2026-04-28 22:30,1372.7,17864,24.523,2339
2026-04-28 22:40,1373.7,17865,24.5422,2436
2026-04-28 22:50,1394.2,17897,24.9535,2383
2026-04-28 23:00,1402.6,17974,25.211,2370
2026-04-28 23:10,1402.6,17957,25.188,2414
2026-04-28 23:20,1413.9,17957,25.3903,2416
2026-04-28 23:30,1419.5,17913,25.4285,2399
2026-04-28 23:40,1449.9,17930,25.9975,2414
2026-04-28 23:50,1447.4,17926,25.9464,2358
